Latent_factors,Iterations,Learning_Rate,Regularization,Convergence,RMSE,MRR_5,MRR_10,NDCG_5,NDCG_10,History,Time,BatchSize
5,70,0.005,0.01,1e-05,3.5065473977289643,0.0,0.0,0.07724369103118371,0.07578088069656685,"[3.4463906250339527, 3.4463531657256006, 3.4463177646583176, 3.4462790914612964, 3.4462435777794447, 3.4462134312567314, 3.446175698816679, 3.446138724383096, 3.4460996360690967, 3.446055100598904, 3.446012189595736, 3.445975361570891, 3.445940264683732, 3.4458994422674825, 3.4458553604704196, 3.445816506030916, 3.4457760538269055, 3.445729437741812, 3.445685631133813, 3.445645597552522, 3.4456028921134956, 3.445563616779586, 3.4455231434669926, 3.445481182162714, 3.445435507272548, 3.445396361933218, 3.445352273628488, 3.4453132304806573, 3.445269891958088, 3.4452229022407126, 3.4451778182741877, 3.4451369627396002, 3.445095331872697, 3.445048139087413, 3.445002973270355, 3.4449599134554827, 3.4449154865813827, 3.4448712643230492, 3.4448227131670754, 3.444773524086173, 3.4447271632784764, 3.44467848837296, 3.444627619510481, 3.444574932416568, 3.4445248371227706, 3.444474338059756, 3.44442999872791, 3.444376084805857, 3.444322542200233, 3.44427388839321, 3.4442224795484258, 3.4441764236451817, 3.4441258024984966, 3.4440768762529506, 3.4440253996512955, 3.4439743929589968, 3.443923013126212, 3.4438734983792654, 3.44382696402318, 3.443775536807611, 3.443724085668128, 3.4436693680020762, 3.443615838236128, 3.443563182489058, 3.443513286481631, 3.443457305449648, 3.4434016755704913, 3.443356384629577, 3.443302599478219, 3.4432475525055652]",248.40189862251282,200.0
5,70,0.005,0.01,0.001,3.506559700582347,0.0,0.0,0.07724369103118371,0.07578088069656685,"[3.4463906250339527, 3.4463547137639923, 3.446316445710839, 3.4462779375236203, 3.446244733988406, 3.4462079540931723, 3.446166850342545, 3.446127123225996, 3.446095097324958, 3.446059778909515, 3.4460213579906727, 3.445982721400234, 3.445939359039332, 3.4458966826380655, 3.445856046254453, 3.445812054887953, 3.4457723105352684, 3.445730751372948, 3.445691858551919, 3.4456512081586506, 3.445610510124688, 3.4455677128935553, 3.4455283994254415, 3.445482497680169, 3.4454405495631537, 3.445393715168011, 3.4453496183717505, 3.4453090777795254, 3.4452641182675063, 3.4452243928113266, 3.4451811298829704, 3.4451384877531104, 3.4450928149124884, 3.44505011243097, 3.4450048348381164, 3.4449666215819867, 3.444923141457761, 3.444870723650247, 3.4448248490250113, 3.4447755690542, 3.4447269142133967, 3.4446769344657255, 3.444634865335654, 3.4445927338775983, 3.4445408058288765, 3.444494911496688, 3.4444424535435108, 3.4443941806345952, 3.444346030927837, 3.4442913122642578, 3.4442411103658497, 3.444195772866312, 3.444146183967682, 3.4441004236243917, 3.444049596439397, 3.443994704524887, 3.4439426583537305, 3.443888567235671, 3.443831499440692, 3.4437792039360593, 3.4437277986231587, 3.4436742663153592, 3.443621186855736, 3.4435696116246577, 3.443517437531074, 3.4434694839989586, 3.4434172612193357, 3.4433647098088085, 3.4433120724023114, 3.443258516740209]",257.9241876602173,200.0
5,70,0.005,0.1,1e-05,3.5065296899479086,0.0,0.0,0.07724369103118371,0.07578088069656685,"[3.4463906250339527, 3.4463547343102867, 3.446314721351345, 3.446280409315153, 3.4462397507044398, 3.446200421199406, 3.4461624320630277, 3.446127651087963, 3.4460868723487885, 3.4460453080897087, 3.446004661038156, 3.4459697497529347, 3.4459284417712452, 3.4458889990835075, 3.445844973175818, 3.445801621645897, 3.445759372776165, 3.4457155299186653, 3.4456709392586626, 3.445631292916652, 3.4455895975797404, 3.445547597880271, 3.445502495744102, 3.4454611767800722, 3.4454172220356813, 3.4453755333431646, 3.4453365883443343, 3.4452897203467283, 3.4452451697356947, 3.4451981081040244, 3.445153248772248, 3.445105624729249, 3.4450631975205765, 3.445018417976945, 3.4449761282647744, 3.4449311224678145, 3.4448872821156105, 3.444838444951007, 3.444795605014896, 3.4447497833078216, 3.4447058514349123, 3.4446527424723046, 3.444602565357886, 3.444554629262039, 3.4445098718511558, 3.444468080760567, 3.4444207371235693, 3.4443705466247017, 3.4443212299252988, 3.4442730852364702, 3.444227976261155, 3.4441774482428333, 3.4441268599333963, 3.4440759802633405, 3.444027808199051, 3.4439794077461574, 3.4439279994187464, 3.4438759289407397, 3.4438275793094495, 3.4437790079023944, 3.4437271524490316, 3.4436724811260184, 3.443619642204205, 3.443565160024215, 3.4435150255658185, 3.443460974852161, 3.443408466561333, 3.443353095723399, 3.4432999290107236, 3.4432473631039806]",251.83384561538696,200.0
5,70,0.005,0.1,0.001,3.5065305774193423,0.0,0.0,0.07726054066488704,0.07576292135000644,"[3.4463906250339527, 3.4463539923580444, 3.4463192972024284, 3.446283599464509, 3.4462416419448045, 3.446202335589564, 3.446164788915054, 3.4461320082698257, 3.4460926733695767, 3.446059099308019, 3.446014503065877, 3.4459798910865067, 3.4459412684926822, 3.4459011393731, 3.4458562481752546, 3.445814968893993, 3.4457745711638705, 3.4457388082435707, 3.4456956966950307, 3.4456532123193435, 3.445615109337172, 3.4455719591008647, 3.445527886985368, 3.4454852873040474, 3.445443799148806, 3.4453997292195453, 3.445354455176427, 3.4453156037213866, 3.4452676832823066, 3.4452211072868275, 3.4451722289141222, 3.4451292921312944, 3.4450811188158745, 3.4450339610868, 3.4449909308463487, 3.444944269235679, 3.444896063150721, 3.4448481467444885, 3.4448031789305924, 3.4447531577237793, 3.4447074354445633, 3.444661050242765, 3.444613780559711, 3.444564205882009, 3.444517040343168, 3.4444635460713187, 3.444414868972658, 3.4443617277425833, 3.444314170696831, 3.4442683374139653, 3.444215455332528, 3.4441705466018617, 3.4441159373894865, 3.444067462401876, 3.4440147456250965, 3.4439678005555936, 3.4439152900173458, 3.4438701063168633, 3.4438231054457296, 3.4437727353464305, 3.443724422488648, 3.4436669220756384, 3.4436132428949127, 3.443561810579303, 3.443506293637227, 3.4434554257909307, 3.4434049896180574, 3.4433495476753126, 3.443300616366912, 3.4432467004995027]",255.8166790008545,200.0
5,70,0.005,1,1e-05,3.5064452565161925,0.0,0.0,0.07394745846126158,0.07280165059182522,"[3.4463906250339527, 3.4463565270331293, 3.4463162888578145, 3.4462775319188026, 3.4462430992548425, 3.4462074997704604, 3.4461656696388814, 3.4461287049200964, 3.446092820809646, 3.4460554935140753, 3.446014366381183, 3.445976894651961, 3.4459347215920966, 3.4458931487064266, 3.445856670490396, 3.4458129079256383, 3.445776691198856, 3.4457421513235866, 3.445703120893254, 3.4456606704084938, 3.445624610205628, 3.445579926684127, 3.4455350992317837, 3.4454940060458115, 3.44545187633003, 3.4454120507520463, 3.4453718759710688, 3.4453253446228556, 3.445277267194035, 3.4452353146962764, 3.4451956660190484, 3.4451554470064583, 3.445108282996599, 3.4450622176045425, 3.445015731719453, 3.4449722372393405, 3.4449227769852504, 3.4448694257623154, 3.444825470645113, 3.4447742692560213, 3.444726087800627, 3.4446762023823063, 3.4446341430666947, 3.4445843802565435, 3.4445407626931726, 3.444492209946924, 3.4444407526628726, 3.4443927686289295, 3.444346004844443, 3.444296826729872, 3.44424710154509, 3.444200196294228, 3.4441485189368355, 3.4440956393048205, 3.4440514565783755, 3.4440030789183935, 3.4439511400807836, 3.4438995329117827, 3.4438532840014733, 3.443800558778979, 3.4437539656629546, 3.44370532269292, 3.443653628391994, 3.4436078918578152, 3.4435583907955225, 3.443506671372785, 3.443456001112322, 3.443403047238267, 3.4433529604240816, 3.4433035573863404]",249.0142114162445,200.0
5,70,0.005,1,0.001,3.506432754437596,0.0,0.0,0.07394745846126158,0.07269852279040145,"[3.4463906250339527, 3.4463525100166406, 3.4463200274158, 3.4462785558242075, 3.4462451593743713, 3.446210308366612, 3.446170098220965, 3.4461318703287724, 3.4460924180493624, 3.4460575598024503, 3.4460176247203367, 3.445975927172562, 3.4459372226581575, 3.44589536463802, 3.4458514188484415, 3.4458078818955933, 3.445764346662807, 3.4457173888337174, 3.445676227230937, 3.445636727396743, 3.4455951324731844, 3.4455523649970488, 3.4455100825961393, 3.44546909309386, 3.4454295049493533, 3.44538911282702, 3.4453501699608675, 3.4453065449081715, 3.4452624696598613, 3.4452202267299055, 3.4451774631302956, 3.4451336804611254, 3.4450971848734895, 3.445050798267418, 3.4450089840510114, 3.4449619771667006, 3.4449134238439445, 3.444872889876819, 3.4448277245787824, 3.4447820344333877, 3.4447377240787924, 3.444690326398032, 3.4446345312258804, 3.444584668170812, 3.4445390839082557, 3.444488017579813, 3.4444380761850186, 3.444395919251861, 3.44434580720788, 3.444297692986387, 3.444250625119875, 3.444201157555748, 3.4441554509244487, 3.444104373717197, 3.4440563330238305, 3.4440029982016926, 3.4439553232290563, 3.4439111512123293, 3.443862295637948, 3.4438100046611866, 3.443759343673552, 3.443711529013698, 3.443660174731868, 3.4436130434886514, 3.443564343212832, 3.443514422265461, 3.4434589409355354, 3.4434052148923406, 3.4433506333953225, 3.4432960266106933]",243.38674426078796,200.0
5,70,0.05,0.01,1e-05,3.4706484268348854,0.09840933191940615,0.10348684542746048,0.06059799570457532,0.0547231657802775,"[3.4463906250339527, 3.4459740617357313, 3.4455787004152234, 3.445117338489863, 3.444628894177518, 3.4441171537164386, 3.443653909346099, 3.443138614786755, 3.442612479511691, 3.442123396956578, 3.4415821161525906, 3.4409882738663504, 3.4403553749919333, 3.4397768001082003, 3.4391584500175076, 3.4385622271887586, 3.437935947418213, 3.4372746280812008, 3.436607115994663, 3.4359421344882004, 3.4352354973567665, 3.4345608724240977, 3.4338544625866176, 3.4331406064483243, 3.4324872269825164, 3.4317784647509155, 3.4310457670504264, 3.430319294692208, 3.4296345887774624, 3.42892811306266, 3.428250223734841, 3.427556656213986, 3.4268523275979246, 3.426144613394171, 3.4254344685085285, 3.4247791413390356, 3.4240774497639275, 3.4234258211370925, 3.422796622234846, 3.422131471177101, 3.421446992290757, 3.4208288648440766, 3.4201673289938754, 3.4195075652700035, 3.418861801079254, 3.4181972088254593, 3.417571276294947, 3.4169152010558497, 3.4162682538674023, 3.415672472138239, 3.415058800003585, 3.4143983511042078, 3.4137609996979763, 3.413161503146229, 3.412554997303835, 3.411920967477055, 3.411278915986683, 3.4106778480883055, 3.410117437565781, 3.4094973074023343, 3.4089150674352773, 3.4083614386711703, 3.4077755009492083, 3.407163771515123, 3.4065898316526284, 3.4060175052112713, 3.405434493119711, 3.404907875761334, 3.4043580043503274, 3.4037798361447513]",222.8575222492218,200.0
5,70,0.05,0.01,0.001,3.4704943296266646,0.09655355249204667,0.1014219226043192,0.05996939759329448,0.05407002355639598,"[3.4463906250339527, 3.445939851077006, 3.44552065107025, 3.4451375255401815, 3.4446911507439455, 3.444191540903584, 3.443666889735597, 3.4431153548420452, 3.44261258134864, 3.4420387972688213, 3.441466638061762, 3.4408988791998794, 3.4402474400556735, 3.4396092007076855, 3.4389542068650747, 3.438281493721433, 3.437691014955905, 3.4370195001804116, 3.4363224395895235, 3.435707039477889, 3.435034092315393, 3.4344027681335185, 3.4336794916408824, 3.4330070607329897, 3.4323700873063605, 3.431671208074998, 3.4310448012303794, 3.430366623661888, 3.429678337892344, 3.428988533919264, 3.4282572612175684, 3.427572505718308, 3.426892138699832, 3.4261891840719607, 3.4255169533429632, 3.4248523226015624, 3.42419010741585, 3.4235259929519275, 3.4228814414330215, 3.422141347934491, 3.4214580337681437, 3.4208009216971833, 3.4201878267731, 3.4194877228413265, 3.4188679747247828, 3.418181715090642, 3.4174747551539535, 3.4168554703676732, 3.416167229829957, 3.415577753854723, 3.4149085199480442, 3.4142648572859393, 3.413599204373454, 3.412954357647018, 3.4123852335370772, 3.41179699616806, 3.4111896500785073, 3.4105441787338697, 3.409936665351946, 3.4093342403842564, 3.4087639850921505, 3.4082054886681, 3.4076061551310057, 3.4070708480744334, 3.4064715560099468, 3.4058869119760913, 3.405320462993413, 3.404761701533606, 3.4041878284471245, 3.403631402101062]",246.37765502929688,200.0
5,70,0.05,0.1,1e-05,3.4718927979408845,0.09528101802757158,0.09973699271154203,0.05996939759329448,0.05407002355639598,"[3.4463906250339527, 3.4460108279440798, 3.445548483782295, 3.4451414654426533, 3.4447728053913087, 3.444292336222677, 3.443789854183654, 3.4432870646103115, 3.442725534991499, 3.442125811948539, 3.4415795658544504, 3.441007152124439, 3.4403976021699627, 3.439806755860835, 3.439220062181776, 3.4385784687141587, 3.4379697052551577, 3.4373379991810515, 3.4366586796494873, 3.4360003476164196, 3.4353207574873412, 3.4346641263687214, 3.4340247288013144, 3.4333619223193392, 3.43267608107567, 3.431969997266208, 3.431294562759607, 3.4306247672756545, 3.4298922594551917, 3.4292535708214293, 3.4285582806793387, 3.427916129952542, 3.4272097078307495, 3.4265692157460297, 3.4258389395898194, 3.4251548297902557, 3.424473757623674, 3.4238532399930053, 3.4232339363820037, 3.422570315600835, 3.421924771687421, 3.421257321239346, 3.420626518591188, 3.420050160232642, 3.4194332295664136, 3.4187922656567693, 3.418160352202926, 3.4175563171427745, 3.416950880363099, 3.4163747770177064, 3.4157708558684403, 3.4152116990291796, 3.414604645086499, 3.4140258341859924, 3.4134387412480285, 3.412867068985706, 3.4123258262797456, 3.4117605556404103, 3.4111802036137036, 3.4105964145732073, 3.4100697878342667, 3.409520792288444, 3.408975128252764, 3.4084558765340547, 3.4078795549124683, 3.407391563274554, 3.406854040309814, 3.406345770583538, 3.4058084588169626, 3.4052962981267725]",235.20461893081665,200.0
5,70,0.05,0.1,0.001,3.472120259580641,0.09528101802757158,0.09958381726674409,0.05996939759329448,0.05397377953215518,"[3.4463906250339527, 3.4460190296475344, 3.445630297090388, 3.4452525823197453, 3.444768689229731, 3.4442696366163483, 3.443806313889989, 3.443265142338604, 3.442700593724526, 3.4421149258792045, 3.4415213477088766, 3.4409153724925465, 3.4403369529355583, 3.4397882317499824, 3.4391383786586167, 3.4385089728266345, 3.437835355290773, 3.4371926587975534, 3.436600396878534, 3.4359229308419916, 3.435222064494014, 3.434588565560999, 3.433936364705066, 3.4332739598887976, 3.43262115292314, 3.431898994039671, 3.431237702380241, 3.430558892067423, 3.4299259542637164, 3.4292650458318006, 3.4286079341948477, 3.4279150884905003, 3.4273062970423034, 3.4266277885505545, 3.426005494356424, 3.4253191846128903, 3.424598510757279, 3.4239546664133815, 3.4233259199279535, 3.422669749388706, 3.42202685915607, 3.4213772190185034, 3.420705705251245, 3.4201085553643757, 3.4195079472494596, 3.4189164969127646, 3.418322868539475, 3.417705455168128, 3.4171005401718686, 3.416517638493857, 3.415916039224373, 3.4153300075563973, 3.4147428905285655, 3.4141438580321384, 3.4135553439624116, 3.412977420513855, 3.412404232411141, 3.4118383296658448, 3.411250025595381, 3.4107202566874326, 3.4101307562227183, 3.4096319405398523, 3.409085791102498, 3.4085654069840925, 3.40807575166179, 3.407574331098247, 3.407067896795141, 3.4065494509917604, 3.4060359273173715, 3.405507767852431]",224.16918516159058,200.0
