Latent_factors,Iterations,Learning_Rate,Regularization,Convergence,RMSE,MRR_5,MRR_10,NDCG_5,NDCG_10,History,Time,IterPerformed
5,20,0.001,0.01,1e-05,3.464714103894447,0.08736302580417107,0.0979232944503358,0.05043469694649602,0.05228647086001186,"[3.447550871958177, 3.445557332845453, 3.443289835266958, 3.440741212340795, 3.4379033429658854, 3.434986390671828, 3.4319320025044404, 3.4288527912936893, 3.425837321559644, 3.4228701543715783, 3.419965842304881, 3.4171329634859506, 3.41434869176104, 3.4116386456961867, 3.4090748883153554, 3.4065634558822433, 3.4041254655741113, 3.4018576762678103, 3.399623143626294, 3.397457241734651]",23.09991765022278,20.0
5,20,0.001,0.01,0.001,3.4643360554668643,0.09167550371155886,0.10107138649026243,0.05450074299843516,0.05409968153255206,"[3.4475340722105976, 3.4456291228622944, 3.4433348230067455, 3.4407122185217727, 3.4378759810843085, 3.4348543125779223, 3.431794336179175, 3.4286570111583816, 3.4256255069656047, 3.4225951773103342, 3.4196503448368913, 3.4168206206008382, 3.414049462484337, 3.411399478673097, 3.4088511909951498, 3.4063072955359597, 3.403886570283404, 3.401518249137571, 3.399272771662037, 3.3970726409034935]",23.244966506958008,20.0
5,20,0.001,0.1,1e-05,3.4670687344497693,0.08750441852244609,0.09959307512329782,0.04911575312179191,0.05258605201443677,"[3.4477279991590914, 3.4458127029287193, 3.443511158403784, 3.4408976517062575, 3.4381614191624097, 3.4352578791220165, 3.432274553212385, 3.429245368959072, 3.4263366895376626, 3.4234369957233866, 3.420655908748475, 3.417978780414535, 3.4154696549686414, 3.4130399032504313, 3.410704672368364, 3.40842256614945, 3.4062210911762256, 3.404107168382139, 3.4020822846361214, 3.400162374838179]",23.93062973022461,20.0
5,20,0.001,0.1,0.001,3.4669011969491836,0.08278543655001767,0.09316012725344644,0.046822740077416464,0.04937751173423748,"[3.4474540276695986, 3.445562257040923, 3.4433522049120953, 3.4408313538293673, 3.4379793706317345, 3.435031532281325, 3.4320641187932015, 3.4290416053549957, 3.426124238159259, 3.4233098844475323, 3.4205281192317076, 3.417862487861287, 3.4153363799742937, 3.412884332197462, 3.410501637890673, 3.4082580334797274, 3.406056107763031, 3.4039582898382967, 3.4019237386516674, 3.3999784600825125]",25.283361673355103,20.0
5,20,0.001,1,1e-05,3.4766672144615782,0.032414280664545776,0.039757864969954045,0.0342962594805549,0.042439610754029466,"[3.447556514992622, 3.4454186531863598, 3.4431073526319222, 3.4406892916793557, 3.438282247237819, 3.4358415606159167, 3.4333376900625585, 3.431009233731703, 3.428981681356836, 3.42698236914043, 3.4251526789172573, 3.423347697361251, 3.4216150968124492, 3.4200400921130916, 3.4184744307933452, 3.4170537377687764, 3.41548506570739, 3.414160942120378, 3.4128384786357584, 3.411603346977463]",26.991146087646484,20.0
5,20,0.001,1,0.001,3.476670457389113,0.03379285966772711,0.04086712450975442,0.03426298726991308,0.04236782938539309,"[3.4476309158980305, 3.445517881792914, 3.4433101795242065, 3.440927671263304, 3.4384213885612143, 3.435956376927344, 3.4336157508385967, 3.4313119070260405, 3.4291102125472537, 3.4271209554136357, 3.4251830494497084, 3.4233446253787796, 3.4216545294134715, 3.419988033237537, 3.4184460469058564, 3.4169412695291026, 3.41555211469481, 3.414170549913585, 3.4128310411463634, 3.411609831029353]",26.78260612487793,20.0
5,20,0.01,0.01,1e-05,3.354214697741932,0.09185224460940263,0.09943064182194618,0.04888733452806752,0.0459639710254165,"[3.4475375333032563, 3.4199922221516634, 3.3957467395408045, 3.3756701997461374, 3.363002467817381, 3.3525232823273643, 3.342395216103818, 3.3354147616846554, 3.3261739200750884, 3.3213344576382324, 3.315366839752071, 3.311941251712207, 3.3055082123128647, 3.2999738465335042, 3.2968189322256753, 3.294640230543426, 3.2913751163763245, 3.288054037554785, 3.28327723270404, 3.28209417484754]",24.574182748794556,20.0
5,20,0.01,0.01,0.001,3.371980860419253,0.07467302933898905,0.08351512397111549,0.040781506425140605,0.04253027570381017,"[3.447605020545037, 3.4167265329371763, 3.393322261725092, 3.376267003927311, 3.362249271537626, 3.3501854114937144, 3.342063833685156, 3.333181956516507, 3.3278885371741675, 3.3229448407716022, 3.3172330006059303, 3.310702979733548, 3.3048016817533794, 3.301150188508214, 3.300955605275565]",17.88981556892395,15.0
5,20,0.01,0.1,1e-05,3.3804734442013804,0.04524566984800282,0.058404450504132364,0.028124598290850407,0.03551955593760716,"[3.4473774672757025, 3.4211341947075478, 3.399409090617791, 3.3811547826570916, 3.3694779160777375, 3.359504121563958, 3.3530613826776476, 3.3478064363759468, 3.343205679335902, 3.3379456849932065, 3.3339167772633296, 3.328427204309972, 3.3252193280903595, 3.3248413453385073, 3.319138807172684, 3.3170439279068344, 3.3170256922986083, 3.314273205715158, 3.3131140148291975, 3.3111834221712186]",24.583484411239624,20.0
5,20,0.01,0.1,0.001,3.375176205567818,0.041357370095440084,0.054447137639078255,0.02533868712805465,0.034153693880389066,"[3.4475270993721034, 3.4209816459096314, 3.3971665477115276, 3.3816927799893888, 3.368867199751156, 3.359498472831124, 3.3527568679248083, 3.346798362262859, 3.3426972410127713, 3.334322454249357, 3.3331715801858453, 3.329004120684135, 3.325859378076261, 3.323031500583076, 3.3204734219440253, 3.3186002321490187, 3.315353879184077, 3.3111544699296367, 3.3087601100882695, 3.305951559884863]",23.78895354270935,20.0
