Latent_factors,Iterations,Learning_Rate,Regularization,BatchSize,Convergence,RMSE,MRR_5,MRR_10,NDCG_5,NDCG_10,History,Time,IterPerformed
5,2,0.001,0.01,20,1e-05,3.5093529702461863,0.0,0.0,0.011170601239373553,0.011151379019628227,"[3.4475606840714854, 3.447552854984529]",7.243603706359863,2.0
5,2,0.001,0.01,100,1e-05,3.5095078778567785,0.0,0.0,0.011324302464640973,0.011743483875108984,"[3.447672036217418, 3.447663467323327]",7.029702425003052,2.0
5,2,0.001,0.01,200,1e-05,3.5095663646515782,0.0,0.0,0.007102133438619756,0.007611062073495805,"[3.4477272913265344, 3.4477209279380276]",8.1274733543396,2.0
5,2,0.001,0.01,400,1e-05,3.509346805508509,0.0,0.0,0.006610376586486005,0.007655808302944216,"[3.447486516946603, 3.4474785139286217]",7.2285027503967285,2.0
5,2,0.001,0.1,20,1e-05,3.5094211558815522,0.002474372569812655,0.002474372569812655,0.009464219366868616,0.009906451762867365,"[3.4475779004727216, 3.447570452475751]",7.216685771942139,2.0
5,2,0.001,0.1,100,1e-05,3.5093569228856762,0.002332979851537646,0.002332979851537646,0.013046382853204164,0.012923503270839768,"[3.4475438494354607, 3.4475361833060343]",7.375569820404053,2.0
5,2,0.001,0.1,200,1e-05,3.50934852488695,0.0,0.0,0.0077518767202141466,0.008618835586593028,"[3.447512828996568, 3.447504489831329]",7.245656490325928,2.0
5,2,0.001,0.1,400,1e-05,3.5092802885801024,0.0,0.0,0.012230761032796683,0.011248986098831336,"[3.4474749496175208, 3.4474673494702737]",7.628801345825195,2.0
5,2,0.001,1,20,1e-05,3.5093568939876225,0.0,0.0,0.008713327297757829,0.009416731269911235,"[3.4475710609231984, 3.4475626270946216]",7.671016693115234,2.0
5,2,0.001,1,100,1e-05,3.5094335949908118,0.0010604453870625664,0.0010604453870625664,0.009469566771693336,0.009666507646955555,"[3.4475871350134026, 3.4475786032232008]",8.265908479690552,2.0
